X,Y,Curve
741656.845,3008792.392,1
741647.2642,3008794.454,1
741637.5908,3008796.999,1
741627.9355,3008799.627,1
741618.3783,3008802.263,1
741608.893,3008805.076,1
741599.5616,3008807.873,0
741590.1665,3008810.69,0
741580.6659,3008813.524,0
741571.1574,3008816.359,0
741561.5971,3008819.2,0
741552.1327,3008821.959,0
741542.5718,3008824.736,0
741533.0537,3008827.502,0
741523.5375,3008830.275,0
741513.9614,3008833.068,0
741504.4773,3008835.821,0
741494.9077,3008838.538,0
741485.4279,3008841.218,0
741475.9221,3008843.915,0
741466.3586,3008846.675,0
741456.8767,3008849.419,0
741447.3,3008852.191,0
741437.8282,3008854.927,0
741428.2298,3008857.698,0
741418.6245,3008860.466,0
741409.1205,3008863.172,0
741399.5439,3008865.894,0
741390.0616,3008868.556,1
741380.4836,3008871.09,1
741370.934,3008873.598,1
741361.4225,3008875.976,1
741351.7649,3008877.868,1
741342.136,3008879.707,1
741332.3422,3008881.413,1
741322.4937,3008882.516,1
741312.5762,3008883.596,1
741302.6331,3008884.463,1
741292.9387,3008884.777,1
741283.0379,3008885.099,1
741273.1831,3008884.843,1
741263.3209,3008883.896,1
741253.4309,3008882.947,1
741243.6118,3008881.976,1
741233.7088,3008880.983,0
741223.8811,3008879.988,0
741213.9396,3008878.89,0
741203.9519,3008877.763,0
741194.0137,3008876.643,0
741184.1377,3008875.539,0
741174.2378,3008874.434,0
741164.2959,3008873.355,0
741154.3928,3008872.316,0
741144.4382,3008871.274,0
741134.543,3008870.287,0
741124.7109,3008869.319,0
741114.8049,3008868.378,0
741105.0379,3008867.527,0
741095.1661,3008866.663,0
741085.2623,3008865.714,0
741075.2866,3008864.736,0
741065.2096,3008863.718,0
741055.363,3008862.682,0
741045.5162,3008861.654,0
741035.6043,3008860.657,0
741025.8022,3008859.675,0
741015.9585,3008858.69,1
741006.2158,3008857.714,1
740996.3943,3008856.609,0
740986.4703,3008855.216,0
740976.716,3008853.866,1
740966.8508,3008852.713,1
740957.1537,3008851.631,0
740947.3484,3008850.508,0
740937.4785,3008849.34,0
740927.6964,3008848.195,0
740917.8345,3008847.179,0
740908.1264,3008846.208,0
740898.3215,3008845.166,0
740888.5313,3008844.029,0
740878.8054,3008842.902,0
740868.9094,3008841.804,0
740859.1684,3008840.737,0
740849.3579,3008839.674,0
740839.5853,3008838.657,0
740829.8245,3008837.642,0
740820.034,3008836.57,0
740810.3009,3008835.453,0
740800.5095,3008834.328,0
740790.7058,3008833.123,0
740780.8392,3008831.886,0
740770.9986,3008830.642,0
740761.2718,3008829.354,0
740751.4295,3008828.039,0
740741.6324,3008826.8,0
740731.7856,3008825.769,0
740721.7359,3008824.721,0
740711.8039,3008823.742,0
740701.9829,3008822.813,0
740692.3151,3008821.907,0
740682.4406,3008821.027,0
740672.6639,3008820.165,0
740662.8723,3008819.258,0
740652.9501,3008818.281,1
740643.2832,3008817.328,1
740633.4503,3008815.989,1
740623.6947,3008814.502,1
740614.0406,3008812.993,1
740604.4298,3008810.986,1
740594.9793,3008808.894,1
740585.4947,3008806.671,1
740576.1517,3008803.687,1
740566.7847,3008800.558,1
740557.4862,3008797.376,1
740548.386,3008793.885,1
740539.2258,3008790.317,1
740530.2192,3008786.653,1
740521.3355,3008782.274,1
740512.5363,3008777.829,1
740503.8413,3008773.327,1
740495.3077,3008768.272,1
740486.9074,3008763.197,1
740478.4941,3008758.069,1
740470.3194,3008752.707,1
740462.203,3008747.307,1
740454.0053,3008741.847,0
740445.8565,3008736.325,0
740437.5937,3008730.7,0
740429.3827,3008725.111,0
740421.231,3008719.529,0
740413.0472,3008713.917,0
740404.9437,3008708.359,0
740396.7152,3008702.748,0
740388.5707,3008697.205,0
740380.4066,3008691.649,0
740372.2241,3008686.069,0
740364.1034,3008680.528,0
740355.8838,3008674.919,0
740347.7637,3008669.344,0
740339.6009,3008663.716,0
740331.4216,3008658.075,0
740323.2942,3008652.462,0
740315.1055,3008646.793,0
740306.9412,3008641.142,0
740298.7118,3008635.472,0
740290.5297,3008629.869,0
740282.3359,3008624.259,0
740274.0899,3008618.624,0
740265.9514,3008613.075,0
740257.6612,3008607.423,0
740249.409,3008601.801,0
740241.2565,3008596.253,0
740233.1129,3008590.711,0
740225.0068,3008585.173,0
740216.77,3008579.526,0
740208.6231,3008573.941,0
740200.4338,3008568.35,0
740192.1843,3008562.74,0
740184.0073,3008557.177,0
740175.7622,3008551.549,0
740167.62,3008545.975,0
740159.4682,3008540.393,0
740151.3478,3008534.82,0
740143.2208,3008529.234,0
740134.9431,3008523.543,0
740126.7513,3008517.922,0
740118.5036,3008512.27,0
740110.1746,3008506.563,0
740102.0044,3008500.953,0
740093.8059,3008495.316,0
740085.5634,3008489.651,0
740077.3462,3008484.059,0
740069.025,3008478.409,0
740060.5917,3008472.713,0
740052.2711,3008467.188,0
740043.8525,3008461.603,0
740035.3865,3008456.108,0
740027.0596,3008450.751,1
740018.6954,3008445.425,1
740010.2242,3008440.152,1
740001.9202,3008434.995,1
739993.289,3008429.943,1
739984.7917,3008425.039,1
739976.2709,3008420.223,1
739967.5158,3008415.527,1
739958.9511,3008410.934,1
739950.1505,3008406.436,1
739941.3482,3008402.076,1
739932.5368,3008397.726,1
739923.4475,3008393.704,1
739914.3816,3008389.798,1
739905.2712,3008385.89,1
739896.2304,3008382.122,1
739887.1126,3008378.339,1
739878.03,3008374.63,1
739868.7869,3008371.074,0
739859.4911,3008367.519,0
739850.2702,3008364.041,0
739840.8076,3008360.607,0
739831.4305,3008357.208,0
739822.0176,3008353.813,0
739812.5352,3008350.427,0
739803.1434,3008347.073,0
739793.7414,3008343.627,0
739784.5667,3008340.118,0
739775.3053,3008336.577,0
739765.9804,3008332.838,0
739756.6718,3008328.917,0
739747.2462,3008324.946,0
739737.9038,3008321.138,0
739728.4771,3008317.376,0
739719.0259,3008313.605,0
739709.5859,3008309.711,0
739700.0049,3008305.727,0
739690.5374,3008301.817,0
739681.113,3008298.096,0
739671.6879,3008294.402,0
739662.2688,3008290.709,0
739652.8261,3008287.009,0
739643.1855,3008283.231,1
739633.7737,3008279.832,1
739624.2255,3008276.557,0
739614.4338,3008273.216,0
739604.3083,3008269.805,0
739594.313,3008266.269,0
739584.6196,3008262.767,0
739574.3791,3008258.941,0
739564.4799,3008255.413,0
739556.5819,3008252.579,0
739547.8263,3008250.573,0
739538.3685,3008249.811,0
739528.4463,3008246.084,0
739519.4978,3008243.023,0
739510.3461,3008239.29,0
739501.2577,3008235.567,0
739492.43,3008232.155,0
739483.6426,3008229.017,0
739474.9167,3008225.926,0
739465.6807,3008222.503,0
739456.8365,3008219.225,0
739447.7488,3008215.928,0
739439.1089,3008212.8,0
739429.955,3008209.332,0
739420.8846,3008205.855,0
739411.7379,3008202.274,0
739402.4755,3008198.471,0
739393.3714,3008194.731,0
739383.9714,3008191.125,0
739374.6947,3008187.648,0
739365.5388,3008184.283,0
739356.4265,3008181.179,0
739347.4428,3008178.142,0
739338.2217,3008174.714,0
